dateUnix,dateIso,kgPrice,quantity
1486940400,12/2/2017,11.3477,7000
1486940400,12/2/2017,9.947638038,1050
1486940400,12/2/2017,9.807722508,8000
1486940400,12/2/2017,11.3477,2000
1486940400,12/2/2017,22.12819994,1000
1486940400,12/2/2017,10.69748996,1000
1486940400,12/2/2017,9.848,6000
1487026800,13-02-17,10.16402659,3000
1487026800,13-02-17,15.14030267,20000
1487026800,13-02-17,9.769306747,3000
1487026800,13-02-17,10.54703983,3000
1487113200,14-02-17,15.14915871,20000
1487113200,14-02-17,9.312767117,3000
1487199600,15-02-17,11.86727496,500
1487199600,15-02-17,12.99702499,3000
1487286000,16-02-17,11.3477,2000
1487286000,16-02-17,10.8478,3000
1487286000,16-02-17,11.3477,6000
1487372400,17-02-17,9.848,6000
1487372400,17-02-17,12.63908455,1400
1487372400,17-02-17,9.848,6000
1487372400,17-02-17,18.21556584,500
1487372400,17-02-17,12.18673197,250
1487545200,19-02-17,11.4473555,900
1487545200,19-02-17,9.039500005,8500
1487545200,19-02-17,9.997629932,1000
1487545200,19-02-17,11.09741995,1000
1487631600,20-02-17,12.79665281,3000
1487631600,20-02-17,12.79665281,3000
1487631600,20-02-17,12.79665281,3000
1487718000,21-02-17,10.1,24000
1487718000,21-02-17,14.98395238,1200
1487718000,21-02-17,9.124382615,2000
1487718000,21-02-17,12.0017898,2000
1487804400,22-02-17,10.08762167,6000
1487804400,22-02-17,9.848,4000
1487804400,22-02-17,10.84785004,1000
1487804400,22-02-17,10.28466667,6000
1487804400,22-02-17,10.8478,6000
1487977200,24-02-17,46.97407286,1000
1487977200,24-02-17,45.9743028,1000
1487977200,24-02-17,9.17611489,1000
1487977200,24-02-17,17.59798479,3075
1487977200,24-02-17,12.00272706,2000
1487977200,24-02-17,12.00085253,2000
1487977200,24-02-17,9.397233466,3200
1487977200,24-02-17,46.97407286,1000
1487977200,24-02-17,10.90000544,500
1487977200,24-02-17,60.96926061,2000
1487977200,24-02-17,14.2101285,600
1487977200,24-02-17,10.90000544,500
1487977200,24-02-17,8.76509136,1500
1487977200,24-02-17,12.00085253,2000
1488150000,26-02-17,16.20982313,500
1488150000,26-02-17,16.17516553,100
1488150000,26-02-17,10.302,16000
1488150000,26-02-17,16.21293197,400
1488150000,26-02-17,9.725622695,20000
1488150000,26-02-17,10.302,16000
1488150000,26-02-17,10.302,16000
1488150000,26-02-17,10.302,16000
1488150000,26-02-17,11.98372479,2000
1488236400,27-02-17,10.29024601,20000
1488409200,1/3/2017,13.59962424,175
1488409200,1/3/2017,8.81800505,420
1488409200,1/3/2017,9.63441116,3000
1488409200,1/3/2017,9.63377985,3000
1488409200,1/3/2017,13.52251758,3000
1488409200,1/3/2017,10.12059203,3500
1488409200,1/3/2017,10.97488642,1250
1488409200,1/3/2017,9.264786617,3000
1488409200,1/3/2017,10.4056047,2000
1488409200,1/3/2017,9.63441116,3000
1488409200,1/3/2017,10.73765115,2200
1488409200,1/3/2017,15.1794403,40000
1488409200,1/3/2017,11.90752432,2000
1488409200,1/3/2017,11.04154694,2000
1488409200,1/3/2017,10.12371148,1900
1488409200,1/3/2017,11.90879705,2000
1488409200,1/3/2017,14.88027525,300
1488495600,2/3/2017,11.29736,500
1488582000,3/3/2017,10.302,16000
1488582000,3/3/2017,30.30000296,25
1488754800,5/3/2017,10.4,2500
1488754800,5/3/2017,10.4,2500
1488754800,5/3/2017,10.75954,1500
1488754800,5/3/2017,15.33889424,2000
1488754800,5/3/2017,10.75954,1500
1488754800,5/3/2017,15.33889424,2000
1488754800,5/3/2017,12.04718667,1500
1488754800,5/3/2017,11.88692485,2000
1488754800,5/3/2017,12.08292485,2000
1488754800,5/3/2017,9.931521211,450
1488754800,5/3/2017,10.4,2500
1488754800,5/3/2017,8.321804647,4500
1488754800,5/3/2017,10.4,2500
1488754800,5/3/2017,12.07963697,2000
1488754800,5/3/2017,135.9332038,3
1488754800,5/3/2017,11.34724,2000
1488754800,5/3/2017,11.9039447,2000
1488841200,6/3/2017,13.13182349,2000
1488841200,6/3/2017,15.30076518,20000
1488841200,6/3/2017,14.39098182,2000
1488841200,6/3/2017,10.54752683,2050
1488841200,6/3/2017,13.46477841,80
1488841200,6/3/2017,13.28178849,2000
1488841200,6/3/2017,9.393939394,8100
1488841200,6/3/2017,12.07187059,425
1488841200,6/3/2017,13.13687566,3000
1488841200,6/3/2017,10.34756,2000
1488927600,7/3/2017,12.79653828,3000
1488927600,7/3/2017,12.79653828,3000
1488927600,7/3/2017,11.5,700
1488927600,7/3/2017,12.83694232,3000
1488927600,7/3/2017,10.94688677,3000
1489014000,8/3/2017,10.2,500
1489014000,8/3/2017,12.98787879,500
1489014000,8/3/2017,9.393939394,8100
1489014000,8/3/2017,8.786999921,202
1489100400,9/3/2017,12.75,200
1489100400,9/3/2017,11.95000097,2500
1489100400,9/3/2017,14.11568333,1000
1489100400,9/3/2017,10.302,16000
1489100400,9/3/2017,9.848,10000
1489100400,9/3/2017,11.95000006,2500
1489100400,9/3/2017,11.3477,6000
1489100400,9/3/2017,15.98874424,2000
1489100400,9/3/2017,11.3477,6000
1489100400,9/3/2017,9.848,10000
1489359600,12/3/2017,13.13687566,3000
1489359600,12/3/2017,12.79653828,3000
1489359600,12/3/2017,14.39565657,1500
1489359600,12/3/2017,12.79653828,3000
1489359600,12/3/2017,13.96647697,500
1489359600,12/3/2017,13.28178849,2000
1489446000,13-03-17,16.00333333,15
1489446000,13-03-17,45,1
1489446000,13-03-17,10.32066802,20000
1489446000,13-03-17,9.8475,200
1489446000,13-03-17,11.3477,3000
1489446000,13-03-17,15.35771327,1000
1489446000,13-03-17,16.00333333,15
1489446000,13-03-17,11.3477,3000
1489446000,13-03-17,45,1
1489446000,13-03-17,15.55304206,9000
1489446000,13-03-17,15.46613697,500
1489446000,13-03-17,15.45964105,8975
1489446000,13-03-17,10.59704495,3000
1489446000,13-03-17,45,1
1489446000,13-03-17,45,1
1489532400,14-03-17,10.59133333,3000
1489532400,14-03-17,12.79653828,3000
1489532400,14-03-17,10.59133333,3000
1489532400,14-03-17,10.2,500
1489532400,14-03-17,13.20616727,500
1489532400,14-03-17,12.20716923,325
1489618800,15-03-17,15.1434122,20000
1489618800,15-03-17,16.37550387,15
1489618800,15-03-17,18.29147287,250
1489618800,15-03-17,11.1244789,9000
1489618800,15-03-17,15.09970969,40000
1489618800,15-03-17,10.96930233,9000
1489618800,15-03-17,13.2620155,800
1489618800,15-03-17,13.0941322,3000
1489618800,15-03-17,55.23251679,15
1489618800,15-03-17,15.25321126,950
1489618800,15-03-17,13.2620155,800
1489618800,15-03-17,11.66511628,500
1489618800,15-03-17,9.720930232,9000
1489618800,15-03-17,10.07906977,9000
1489705200,16-03-17,10.03333333,12000
1489705200,16-03-17,17.54119962,1875
1489705200,16-03-17,11.95494357,500
1489705200,16-03-17,17.61797079,2925
1489705200,16-03-17,9.426356589,5175
1489705200,16-03-17,10.37135149,8000
1489705200,16-03-17,11.95494357,500
1489705200,16-03-17,9.759504761,7000
1489705200,16-03-17,12.4,1000
1489705200,16-03-17,10.30200001,2320
1489705200,16-03-17,17,300
1489705200,16-03-17,9.848,5000
1489705200,16-03-17,11.7000005,1250
1489705200,16-03-17,10.30200001,13640
1489705200,16-03-17,10.20100075,40
1489964400,19-03-17,14.14152568,1000
1489964400,19-03-17,12.79536377,3000
1490050800,20-03-17,38.38,50
1490050800,20-03-17,10.4,6000
1490050800,20-03-17,10.4,3000
1490050800,20-03-17,18.4496124,700
1490137200,21-03-17,10.5545,15720
1490137200,21-03-17,19.37502326,10
1490223600,22-03-17,15,1.5
1490223600,22-03-17,30,1
1490223600,22-03-17,15,1.5
1490310000,23-03-17,14.69655008,1000
1490310000,23-03-17,10.1,7440
1490310000,23-03-17,10.1,5240
1490310000,23-03-17,13.14190124,2000
1490310000,23-03-17,10.1,7320
1490396400,24-03-17,10.4,5000
1490396400,24-03-17,11.009,650
1490396400,24-03-17,11.009,1000
1490565600,26-03-17,10.23750961,2000
1490565600,26-03-17,9.812008571,7000
1490565600,26-03-17,42.69646915,1000
1490565600,26-03-17,10.307608,2500
1490565600,26-03-17,10.30760672,1500
1490565600,26-03-17,10.84166247,2750
1490565600,26-03-17,10.08762252,4000
1490565600,26-03-17,10.19758504,7350
1490652000,27-03-17,13.48385013,600
1490652000,27-03-17,12.79536377,3000
1490652000,27-03-17,9.740775191,11000
1490652000,27-03-17,9.740775191,11000
1490738400,28-03-17,10.3875969,1700
1490738400,28-03-17,10.54263566,300
1490738400,28-03-17,10.5545,16000
1490738400,28-03-17,10.5545,16000
1490738400,28-03-17,10.5545,16000
1490911200,30-03-17,10.19162711,6000
1490911200,30-03-17,13.11944566,2000
1490911200,30-03-17,9.848,4000
1490911200,30-03-17,11.3477,2000
1490911200,30-03-17,12,1
1490911200,30-03-17,10.55880283,4000
1490997600,31-03-17,25.92738708,150
1490997600,31-03-17,15.88182222,2000
1490997600,31-03-17,16.53079199,600
1490997600,31-03-17,9.146164807,3000
1491170400,2/4/2017,11.7272076,2000
1491170400,2/4/2017,10.25,3000
1491170400,2/4/2017,10.99744504,2000
1491256800,3/4/2017,10.99745008,1000
1491256800,3/4/2017,18.00159302,600
1491256800,3/4/2017,16.4884531,2000
1491256800,3/4/2017,11.79287024,2000
1491343200,4/4/2017,12.23942806,2000
1491343200,4/4/2017,11.70854031,400
1491343200,4/4/2017,13.98127612,1000
1491343200,4/4/2017,12.44712672,1500
1491343200,4/4/2017,12.44712672,1500
1491343200,4/4/2017,15,1.5
1491343200,4/4/2017,10.5545,16000
1491343200,4/4/2017,15,1.5
1491343200,4/4/2017,30,1
1491343200,4/4/2017,10.5545,16000
1491343200,4/4/2017,30,2
1491343200,4/4/2017,30,1.5
1491343200,4/4/2017,12.79536377,3000
1491429600,5/4/2017,10.175,3000
1491429600,5/4/2017,12.79536377,3000
1491429600,5/4/2017,13.06945566,2000
1491429600,5/4/2017,11.16989062,2000
1491429600,5/4/2017,10.3875969,1500
1491429600,5/4/2017,11.16989062,2000
1491429600,5/4/2017,11.73179612,1000
1491516000,6/4/2017,24.91636838,200
1491516000,6/4/2017,12.2117134,250
